KPI,Value
Total Revenue (INR),83177193.45
Total Orders,120192.0
Total Items Sold,116462.0
AOV (INR),692.04
Median Order Value (INR),612.0
Delivered Rate (%),22.41
Cancellation Rate (%),13.8
Return Rate (%),1.67
In-Progress Rate (%),62.12
Orders with Promotions (%),61.02
Revenue from Promotions (%),64.6
AOV with Promotions (INR),732.54
AOV without Promotions (INR),628.62
Revenue from B2B (%),0.73
Revenue from Retail (%),99.27
Low Rotation SKUs (%),3.98
Dead SKUs (%),8.6
Top 2 Category Revenue Share (%),77.26
Unrealized Revenue (INR),57878411.0
