sku,rev,ord,rev_rank,ord_rank,low_rotation_flag,dead_flag
AN201-RED-M,458.0,2,6809.0,5959.0,0,0
AN201-RED-XL,602.0,2,6542.5,5959.0,0,0
AN201-RED-XXL,229.0,1,7176.5,6746.5,0,1
AN202-ORANGE-M,530.0,2,6660.0,5959.0,0,0
AN202-ORANGE-S,1141.0,4,5748.5,4820.5,0,0
AN202-ORANGE-XXL,229.0,1,7176.5,6746.5,0,1
AN203-MAROON-XXL,301.0,1,7101.5,6746.5,0,1
AN204-PURPLE-L,1569.34,5,5285.0,4401.5,0,0
AN204-PURPLE-M,322.0,1,7032.0,6746.5,0,1
AN204-PURPLE-S,322.0,1,7032.0,6746.5,0,1
AN204-PURPLE-XL,306.67,1,7072.0,6746.5,0,1
AN204-PURPLE-XXL,644.0,2,6430.0,5959.0,0,0
AN205-YELLOW-S,723.0,3,6313.5,5335.5,0,0
AN205-YELLOW-XL,903.0,3,6075.0,5335.5,0,0
AN205-YELLOW-XXL,301.0,1,7101.5,6746.5,0,1
AN206-GREEN-M,249.0,1,7171.5,6746.5,0,1
AN206-GREEN-S,301.0,1,7101.5,6746.5,0,1
AN206-GREEN-XL,301.0,1,7101.5,6746.5,0,1
AN207-PINK-L,322.0,1,7032.0,6746.5,0,1
AN207-PINK-S,322.0,1,7032.0,6746.5,0,1
AN207-PINK-XXL,322.0,1,7032.0,6746.5,0,1
AN208-MUSTARD-L,301.0,1,7101.5,6746.5,0,1
AN208-MUSTARD-M,229.0,1,7176.5,6746.5,0,1
AN208-MUSTARD-S,834.0,2,6195.0,5959.0,0,0
AN208-MUSTARD-XL,530.0,2,6660.0,5959.0,0,0
AN208-MUSTARD-XXL,1058.1,4,5837.0,4820.5,0,0
AN209-BIEGE-XL,1373.0,5,5487.0,4401.5,0,0
AN209-BIEGE-XXL,229.0,1,7176.5,6746.5,0,1
AN210-NAVY-M,286.67,1,7142.5,6746.5,0,1
AN210-NAVY-XL,301.0,1,7101.5,6746.5,0,1
AN211-BLACK-L,1806.0,5,5054.0,4401.5,0,0
AN211-BLACK-S,903.0,3,6075.0,5335.5,0,0
AN211-BLACK-XL,301.0,1,7101.5,6746.5,0,1
AN211-BLACK-XXL,1204.0,3,5657.0,5335.5,0,0
AN212-WHITE-L,322.0,1,7032.0,6746.5,0,1
AN212-WHITE-M,312.0,1,7066.5,6746.5,0,1
AN212-WHITE-S,312.0,1,7066.5,6746.5,0,1
AN212-WHITE-XL,644.0,2,6430.0,5959.0,0,0
AN212-WHITE-XXL,322.0,1,7032.0,6746.5,0,1
AN213-BROWN-L,1490.67,5,5363.0,4401.5,0,0
AN213-BROWN-M,587.67,2,6569.0,5959.0,0,0
AN213-BROWN-S,2264.0,8,4694.0,3433.0,1,0
AN213-BROWN-XL,301.0,1,7101.5,6746.5,0,1
BL001-50PINK,419.0,1,6869.5,6746.5,0,1
BL003-50BLACK,1443.0,3,5436.0,5335.5,0,0
BL003-50BLACK-B,2906.05,7,4239.0,3717.5,0,0
BL004-50CHIKU-B,419.0,1,6869.5,6746.5,0,1
BL006-54BLACK,3292.76,8,4009.0,3433.0,1,0
BL006-54BLACK-B,383.0,1,6912.0,6746.5,0,1
BL007-61PINK-B,1017.0,3,5904.0,5335.5,0,0
BL008-61RED-B,678.0,2,6368.5,5959.0,0,0
BL009-61BLACK,1705.0,3,5151.0,5335.5,0,0
BL009-61BLACK-B,5587.86,16,3024.0,2039.0,0,0
BL010-61CHIKU-B,838.0,2,6186.5,5959.0,0,0
BL011-62PINK-B,372.0,1,6934.5,6746.5,0,1
BL013-62BLACK,5332.0,13,3111.0,2460.0,0,0
